date,strategy,direction,regime,confidence,lots,entry_time,entry_price,exit_price,exit_time,exit_reason,pnl_pts,pnl_rs,won,armed_reason,index
2025-02-03,MOMENTUM_BURST,CE,TRENDING_BEAR,0.826,2,2025-02-03 13:01:00,474.5,485.5,2025-02-03 14:30:00,TIME,10.2,776.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-03,BOLLINGER_SQUEEZE,CE,TRENDING_BEAR,0.826,2,2025-02-03 13:01:00,474.5,485.5,2025-02-03 14:30:00,TIME,10.2,776.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-03,MACD_DIVERGENCE,PE,TRENDING_BEAR,0.837,3,2025-02-03 13:16:00,346.25,341.15,2025-02-03 14:30:00,TIME,-5.9,-748.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-05,MOMENTUM_BURST,CE,RANGE_BOUND,0.828,2,2025-02-05 13:01:00,421.55,430.0,2025-02-05 14:30:00,TIME,7.65,572.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,VWAP_BOUNCE,CE,RANGE_BOUND,0.828,2,2025-02-05 13:01:00,421.55,430.0,2025-02-05 14:30:00,TIME,7.65,572.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-05,MACD_DIVERGENCE,PE,RANGE_BOUND,0.839,3,2025-02-05 14:01:00,352.85,336.35,2025-02-05 14:30:00,TIME,-17.3,-2116.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-06,BEAR_TREND_FOLLOWER,PE,RANGE_BOUND,0.88,6,2025-02-06 12:46:00,333.7,336.55,2025-02-06 14:30:00,TIME,2.05,452.0,True,ARMED(conf=0.88),FINNIFTY
2025-02-06,MOMENTUM_BURST,PE,RANGE_BOUND,0.826,3,2025-02-06 12:46:00,333.7,336.55,2025-02-06 14:30:00,TIME,2.05,206.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-07,BEAR_TREND_FOLLOWER,PE,TRENDING_BEAR,0.895,7,2025-02-07 12:46:00,304.4,317.18399999999997,2025-02-07 13:56:00,TSL,11.98,3315.52,True,ARMED(conf=0.90),FINNIFTY
2025-02-07,MOMENTUM_BURST,PE,TRENDING_BEAR,0.825,3,2025-02-07 13:46:00,306.25,322.4704,2025-02-07 13:55:00,TSL,15.42,1810.45,True,ARMED(conf=0.82),FINNIFTY
2025-02-13,ATR_BREAK,PE,TRENDING_BEAR,0.827,4,2025-02-13 13:01:00,257.7,268.1848,2025-02-13 13:12:00,TSL,9.68,1509.57,True,ARMED(conf=0.83),FINNIFTY
2025-02-13,EMA_CROSSOVER,PE,TRENDING_BEAR,0.824,3,2025-02-13 13:31:00,284.0,276.15,2025-02-13 14:30:00,TIME,-8.65,-1078.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-13,ATR_BREAK,PE,TRENDING_BEAR,0.824,3,2025-02-13 13:31:00,284.0,276.15,2025-02-13 14:30:00,TIME,-8.65,-1078.0,False,ARMED(conf=0.82),FINNIFTY
2025-02-14,TREND_FOLLOWING,PE,TRENDING_BULL,0.829,4,2025-02-14 13:31:00,258.15,264.551,2025-02-14 13:36:00,TSL,5.6,856.16,True,ARMED(conf=0.83),FINNIFTY
2025-02-14,MOMENTUM_BURST,PE,TRENDING_BULL,0.827,4,2025-02-14 13:46:00,272.85,253.65,2025-02-14 14:30:00,TIME,-20.0,-3240.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-14,MACD_DIVERGENCE,CE,TRENDING_BULL,0.83,3,2025-02-14 14:01:00,362.65,353.05,2025-02-14 14:30:00,TIME,-10.4,-1288.0,False,ARMED(conf=0.83),FINNIFTY
2025-02-14,OPTIONS_GREEKS,CE,TRENDING_BULL,0.839,4,2025-02-14 14:16:00,323.25,346.46399999999994,2025-02-14 14:18:00,TSL,22.41,3546.24,True,ARMED(conf=0.84),FINNIFTY
2025-02-17,VWAP_BOUNCE,CE,TRENDING_BULL,0.837,3,2025-02-17 13:16:00,333.85,346.577,2025-02-17 13:39:00,TSL,11.93,1391.24,True,ARMED(conf=0.84),FINNIFTY
2025-02-17,RESIST_BREAK,CE,TRENDING_BULL,0.827,4,2025-02-17 13:31:00,345.3,355.47499999999997,2025-02-17 14:04:00,TSL,9.37,1460.0,True,ARMED(conf=0.83),FINNIFTY
2025-02-19,MACD_DIVERGENCE,CE,TRENDING_BULL,0.837,4,2025-02-19 12:46:00,272.45,251.6,2025-02-19 14:29:00,SPOT_SL,-21.65,-3504.0,False,ARMED(conf=0.84),FINNIFTY
2025-02-19,MOMENTUM_BURST,CE,TRENDING_BULL,0.836,4,2025-02-19 13:16:00,253.45,265.96,2025-02-19 13:35:00,TSL,11.71,1833.6,True,ARMED(conf=0.84),FINNIFTY
